# PathPlanner CSV Format:
# timeSeconds, xPositionMeters, yPositionMeters, headingDegrees, velocityMetersPerSecond, accelerationMetersPerSecondSq, curvatureRadPerMeter, holonomicRotationDegrees, angularVelocityDegreesPerSec, holonomicAngularVelocityDegreesPerSec
 0.0,1.25,7.0,89.85605497500433,0,5.0,-0.5742894268321829,0.0,0.0,0.0
 0.05902624694720329,1.2500218828518315,7.008710217083362,89.85605497500433,0.29513123473601643,4.999999999999999,-0.5742894268321829,0.0,-11.715132710633606,0.0
 0.0835121378002622,1.2500874878927908,7.017435418772003,89.56919951412264,0.41756068900131105,5.000000000000003,-0.5704885116848248,0.0,-15.17291129969355,0.0
 0.10232537825295991,1.2501967498510755,7.026175250510154,89.28374788547406,0.5116268912647995,4.999999999999998,-0.5667652856764542,0.0,-17.888188531768318,0.0
 0.11820600524312146,1.2503496034548833,7.034929357742039,88.99967223587136,0.5910300262156073,5.000000000000002,-0.5631188754953932,0.0,-20.18214485574038,0.0
 0.13221478929617625,1.250545983432412,7.043697385911885,88.71694492685982,0.6610739464808812,4.999999999999999,-0.5595484165502317,0.0,-22.19173611140757,0.0
 0.1448954733010576,1.2507858245118588,7.052478980463922,88.43553853371135,0.724477366505288,5.000000000000006,-0.5560530533476974,0.0,-23.991658743538228,0.0
 0.15657089318184847,1.2510690614214215,7.061273786842374,88.1554258442439,0.7828544659092423,4.999999999999993,-0.5526319397401795,0.0,-25.628317546505937,0.0
 0.16745127915459976,1.2513956288892973,7.070081450491472,87.87657985750567,0.8372563957729988,5.000000000000003,-0.5492842396715198,0.0,-27.13303132435368,0.0
 0.17768257516770106,1.2517654616436844,7.078901616855438,87.59897378229346,0.8884128758385053,4.999999999999995,-0.5460091270234103,0.0,-28.528199038338514,0.0
 0.18737098018594317,1.25217849441278,7.087733931378502,87.32258103556902,0.9368549009297159,5.000000000000009,-0.5428057864752935,0.0,-29.83054535887746,0.0
 0.1965966175837695,1.252634661924782,7.096578039504892,87.0473752407086,0.9829830879188476,5.0,-0.5396734131708933,0.0,-31.052981673785563,0.0
 0.20542169653828773,1.2531338989078875,7.105433586678835,86.77333022566424,1.0271084826914387,5.0,-0.536611213511222,0.0,-32.20574455451708,0.0
 0.21389565695873058,1.2536761400902945,7.114300218344557,86.50042002099836,1.069478284793653,5.000000000000006,-0.5336184051592222,0.0,-33.297128542046515,0.0
 0.2220585579376988,1.2542613202002,7.123177579946284,86.22861885782567,1.1102927896884942,5.000000000000013,-0.5306942172138459,0.0,-34.333977620577826,0.0
 0.22994339129962452,1.2548893739658025,7.132065316928245,85.9579011656353,1.1497169564981229,5.000000000000011,-0.5278378904080234,0.0,-35.3220262381533,0.0
 0.2375777097203781,1.2555602361152989,7.1409630747346675,85.68824157006704,1.1878885486018909,5.000000000000014,-0.5250486773301166,0.0,-36.266142820264534,0.0
 0.24498480235924397,1.256273841376887,7.149870498809778,85.419614890543,1.2249240117962203,5.0000000000000115,-0.5223258425958813,0.0,-37.17050794060925,0.0
 0.25218456280096474,1.2570301244787645,7.158787234597804,85.15199613787354,1.2609228140048243,5.000000000000015,-0.5196686628594857,0.0,-38.03874748562159,0.0
 0.2591941423410822,1.2578290201491287,7.167712927542972,84.88536051176663,1.2959707117054116,5.000000000000008,-0.517076427035603,0.0,-38.87403403056777,0.0
 0.2660284501284816,1.2586704631161774,7.176647223089509,84.61968339826389,1.3301422506424088,5.000000000000024,-0.514548436324093,0.0,-39.67916527973919,0.0
 0.27270054187376136,1.2595543881081082,7.185589766681643,84.35494036714135,1.3635027093688077,5.000000000000008,-0.5120840042608241,0.0,-40.45662565643877,0.0
 0.2792219260385874,1.2604807298531184,7.194540203763601,84.09110716922315,1.396109630192938,5.000000000000017,-0.5096824568324176,0.0,-41.20863528144112,0.0
 0.2856028079524681,1.261449423079406,7.203498179779609,83.8281597336601,1.4280140397623415,4.999999999999991,-0.5073431326177577,0.0,-41.93718938563523,0.0
 0.2918522865735764,1.2624604025151682,7.212463340173896,83.5660741651652,1.459261432867883,4.999999999999991,-0.5050653826966587,0.0,-42.64409036547682,0.0
 0.2979785146568541,1.263513602888603,7.221435330390687,83.30482674118238,1.4898925732842712,4.999999999999964,-0.5028485706225128,0.0,-43.33097409404684,0.0
 0.30398883031615387,1.2646089589279075,7.230413795874211,83.04439390905222,1.51994415158077,4.999999999999981,-0.5006920725728929,0.0,-43.99933172702469,0.0
 0.30988986598559465,1.2657464053612797,7.239398382068696,82.7847522830995,1.5494493299279737,4.999999999999981,-0.49859527730493736,0.0,-44.65052789921015,0.0
 0.31568763935024385,1.266925876916917,7.248388734418366,82.52587864172793,1.5784381967512198,5.00000000000001,-0.4965575861386315,0.0,-45.28581604170547,0.0
 0.3213876297628313,1.2681473083230168,7.2573844983674505,82.267749924464,1.606938148814157,4.99999999999999,-0.4945784130448612,0.0,-45.906351353135925,0.0
 0.326994842880376,1.2694106343077771,7.266385319360176,82.01034322897809,1.6349742144018806,5.000000000000029,-0.4926571842763395,0.0,-46.513201855751966,0.0
 0.33251386566622004,1.2707157895993955,7.27539084284077,81.75363580809362,1.6625693283311007,4.99999999999998,-0.49079333888880383,0.0,-47.10735787914358,0.0
 0.33794891345598765,1.272062708926069,7.28440071425346,81.4976050667708,1.689744567279939,5.00000000000003,-0.48898632813191434,0.0,-47.68974023845882,0.0
 0.3433038704431306,1.2734513270159955,7.293414579042471,81.24222855906584,1.7165193522156539,5.000000000000042,-0.48723561591902315,0.0,-48.261207317647205,0.0
